127.0.0.1 - - [30/Jul/2026 08:08:30] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:30] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:31] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:32] "GET /prompts/metadata-extraction.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:34] "GET /prompts/trade-classifier.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:34] "GET /prompts/document-intelligence.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:38] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:38] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:38] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:38] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:38] "GET /images/QuantisAI.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:38] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:38] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:39] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:40] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:40] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:40] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:40] "GET /images/QuantisAI.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:40] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:40] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:41] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:47] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:47] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:47] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:47] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:47] "GET /images/QuantisAI.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:47] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:47] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:48] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:49] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:49] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:49] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:49] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:49] "GET /images/QuantisAI.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:49] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:49] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:50] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:21] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:21] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:21] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:21] "GET /images/QuantisAI.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:21] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:21] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:22] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:23] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:23] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:23] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:23] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:23] "GET /images/QuantisAI.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:23] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:23] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:23] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:24] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:24] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:24] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:24] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:24] "GET /images/QuantisAI.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:24] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:24] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:09:25] "GET /images/logolong.png HTTP/1.1" 200 -
